descriptor,appearances
passionate,298
melodic,277
energetic,261
atmospheric,208
rhythmic,203
melancholic,185
instrumental,163
bittersweet,159
warm,158
introspective,141
playful,140
mellow,136
complex,134
psychedelic,133
lush,132
heavy,128
acoustic,123
dark,122
technical,114
poetic,112
progressive,109
urban,108
epic,102
improvisation,98
raw,95
love,91
lonely,87
nocturnal,86
eclectic,85
anxious,85
sombre,83
uplifting,82
dense,80
conscious,77
hypnotic,77
sampling,74
aggressive,74
romantic,73
avant-garde,71
surreal,71
noisy,71
mysterious,66
concept album,65
political,65
death,64
soothing,64
ethereal,63
rebellious,61
sexual,56
drugs,55
repetitive,54
uncommon time signatures,54
quirky,52
cryptic,51
philosophical,50
sentimental,47
spiritual,47
ominous,46
summer,46
angry,46
humorous,44
chaotic,43
cold,43
sarcastic,43
anthemic,42
manic,41
longing,41
boastful,39
existential,39
apocalyptic,38
dissonant,37
pastoral,36
violence,36
depressive,35
futuristic,35
abstract,34
crime,33
orchestral,33
lo-fi,33
fantasy,33
suspenseful,33
soft,31
triumphant,30
calm,28
tropical,26
misanthropic,26
peaceful,26
sensual,25
happy,25
science fiction,24
protest,24
meditative,23
autumn,23
hedonistic,22
alienation,21
sad,21
winter,21
minimalistic,20
satirical,20
party,19
breakup,19
optimistic,19
occult,18
LGBT,18
pessimistic,18
religious,17
Christian,17
space,16
sparse,15
nihilistic,15
symphony,15
nature,15
vulgar,14
war,14
serious,14
mechanical,13
ritualistic,13
history,13
suite,12
infernal,12
polyphonic,11
choral,11
suicide,11
self-hatred,10
disturbing,9
satanic,9
funereal,9
aquatic,9
alcohol,8
spring,7
rock opera,7
lethargic,7
apathetic,6
medieval,6
forest,6
desert,6
mythology,6
Wall of Sound,5
anti-religious,5
chamber music,4
string quartet,4
tribal,4
pagan,4
hateful,3
folklore,3
deadpan,3
atonal,3
martial,3
Christmas,2
sports,2
oratorio,2
medley,2
ballad,2
scary,2
concerto,1
a cappella,1
anarchism,1
opera,1
monologue,1
mashup,1
educational,1
ensemble,1
rain,1
tone poem,1
waltz,1
