genre,appearances
Singer-Songwriter,92
Art Rock,50
Progressive Rock,44
East Coast Hip Hop,37
Alternative Rock,37
Art Pop,36
Indie Rock,36
Hard Rock,35
Psychedelic Rock,33
Pop Rock,29
Post-Punk,26
Contemporary Folk,25
Experimental Rock,25
Heavy Metal,24
Folk Rock,24
Conscious Hip Hop,23
Post-Rock,22
Avant-Garde Jazz,22
Video Game Music,22
Post-Hardcore,21
Jazz Fusion,21
Noise Rock,21
Romanticism,21
Experimental Hip Hop,19
Electronic,19
Neo-Psychedelia,19
Ambient,18
Blues Rock,18
Jazz-Rock,17
Hardcore Hip Hop,17
Boom Bap,17
Post-Bop,16
Spiritual Jazz,16
Psychedelic Pop,16
Hard Bop,16
Death Metal,15
Abstract Hip Hop,15
New Wave,15
Indie Folk,15
Symphony,15
Jazz Rap,13
Chamber Folk,13
Dream Pop,13
Southern Hip Hop,12
Progressive Metal,12
Progressive Pop,12
Modal Jazz,11
Modern Classical,11
Technical Death Metal,11
Drone,11
Jam Band,11
Country Rock,10
Soul,10
Thrash Metal,10
Gangsta Rap,10
Indie Pop,9
West Coast Hip Hop,9
Baroque Music,9
MPB,9
Shoegaze,9
Free Jazz,8
IDM,8
Alternative Metal,8
Art Punk,8
Synthpop,8
Indietronica,8
Slowcore,8
Symphonic Prog,8
Neo-Soul,8
Punk Rock,7
Minimalism,7
Film Score,7
Black Metal,7
Atmospheric Black Metal,7
Orchestral Music,7
Gothic Rock,7
Baroque Pop,7
Grunge,7
Chamber Music,6
Ambient Pop,6
Avant-Folk,6
Glam Rock,6
Noise Pop,6
Jazz-Funk,6
Krautrock,6
Pop Rap,6
Sequencer & Tracker,6
Country,6
Industrial Hip Hop,6
Contemporary R&B,6
Slacker Rock,6
Power Pop,5
Trip Hop,5
Chamber Pop,5
Classical Period,5
Rock Opera,5
Stoner Metal,5
Glitch Hop,5
Funk,5
Cool Jazz,5
Post-Industrial,5
Post-Metal,5
Psychedelic Folk,5
Garage Rock,5
Afrobeat,5
Acid Rock,4
Sophisti-Pop,4
Industrial Rock,4
Math Rock,4
Heartland Rock,4
Hardcore Punk,4
Alternative R&B,4
Instrumental Hip Hop,4
Atmospheric Sludge Metal,4
Midwest Emo,4
Pop Punk,4
Dance-Pop,4
Southern Soul,4
Smooth Soul,4
Downtempo,4
Ballet,4
Roots Reggae,4
Proto-Punk,4
Avant-Prog,4
Plunderphonics,4
Emo,4
Experimental,4
Television Music,4
Third Stream,4
Dance-Punk,4
Roots Rock,3
Salsa dura,3
Space Ambient,3
Requiem,3
J-Rock,3
Synth Funk,3
Vocal Jazz,3
Progressive Folk,3
Progressive Electronic,3
Jangle Pop,3
Samba,3
Neoclassical Darkwave,3
Samba-rock,3
16-bit,3
Disco,3
Choral Symphony,3
Experimental Big Band,3
Electropop,3
Dissonant Death Metal,3
Deep Soul,3
City Pop,3
Cinematic Classical,3
Christian Liturgical Music,3
Chicago Soul,3
Folk Pop,3
Canterbury Scene,3
Brutal Death Metal,3
Americana,3
American Primitivism,3
Alternative Dance,3
Alt-Country,3
Acoustic Rock,3
Film Soundtrack,3
Zeuhl,3
Horrorcore,3
Latin Rock,2
Progressive Big Band,2
Piano Rock,2
Big Band,2
Symphonic Black Metal,2
Stoner Rock,2
Bossa nova,2
ECM Style Jazz,2
Britpop,2
Spaghetti Western,2
Drone Metal,2
Drill and Bass,2
Hip Hop,2
Doom Metal,2
G-Funk,2
Impressionism,2
Oratorio,2
Bubblegum Bass,2
Sound Collage,2
Jazz Pop,2
Dark Jazz,2
Psychedelic Soul,2
Soft Rock,2
Rhythm & Blues,2
Sludge Metal,2
Rock,2
Jazz,2
Chipmunk Soul,2
Glitch Pop,2
Shibuya-kei,2
Samba-choro,2
P-Funk,2
Swamp Rock,2
Choral,2
Mathcore,2
Minneapolis Sound,2
Latin Rap,2
Metalcore,2
Twee Pop,2
Memphis Rap,2
NWOBHM,2
Fugue,2
Tropicália,2
Funk Rock,2
Trap,2
Melodic Death Metal,2
Folktronica,2
Nocturne,2
French House,2
Acid Jazz,2
Epic Doom Metal,2
Holy Minimalism,2
Caribbean Folk Music,1
Son cubano,1
Serialism,1
Canción melódica,1
House,1
Yacht Rock,1
White Voice,1
Wonky,1
Grindcore,1
Show Tunes,1
Heavy Psych,1
Chillwave,1
Bulgarian Folk Music,1
Hyperpop,1
Avant-Garde Metal,1
Southern Rock,1
UK Hip Hop,1
Technical Thrash Metal,1
Baggy,1
Baroque Suite,1
Horror Punk,1
Ambient Techno,1
Bolero,1
Screamo,1
Surf Music,1
Tone Poem,1
Totalism,1
Spoken Word,1
Traditional Doom Metal,1
Spanish Classical Music,1
Space Rock Revival,1
Turntable Music,1
Space Age Pop,1
Tango nuevo,1
Brutal Prog,1
Rap Metal,1
Gothic Metal,1
Samba-jazz,1
Future Garage,1
Picopop,1
Pagan Black Metal,1
Emo-Pop,1
Opera,1
Nyahbinghi,1
Nueva trova,1
Nu-Disco,1
Nu Metal,1
Emoviolence,1
No Wave,1
Ethereal Wave,1
New Age,1
Neofolk,1
Neoclassical New Age,1
Expressionism,1
Moogsploitation,1
Modern Creative,1
Folk Metal,1
Free Folk,1
Melodic Black Metal,1
French Electro,1
Mass,1
Mashup,1
Mariachi,1
Political Hip Hop,1
Polyphonic Chant,1
Pop,1
Deconstructed Club,1
Samba Soul,1
Christian Rock,1
Christmas Music,1
Garage Rock Revival,1
Rock andino,1
Concerto,1
Ritual Ambient,1
Dance,1
Lounge,1
Dark Folk,1
Darkwave,1
Depressive Black Metal,1
Electronic Dance Music,1
Digital Fusion,1
Dirty South,1
Dissonant Black Metal,1
Prelude,1
Post-Punk Revival,1
Post-Minimalism,1
Drumless,1
Dub,1
Dubstep,1
Pop Soul,1
Electroacoustic,1
Hypnagogic Pop,1
