genre,appearances
,102
16-bit,1
2-Step,1
A cappella,1
Abstract Hip Hop,14
Acid Breaks,2
Acid Jazz,3
Acid Rock,14
Acoustic Blues,4
Acoustic Rock,4
Afoxé,2
Afro-Jazz,2
Afrobeat,1
Alt-Country,7
Alt-Pop,1
Alternative Dance,11
Alternative Metal,4
Alternative R&B,9
Alternative Rock,12
Ambient,43
Ambient Americana,3
Ambient Pop,21
Ambient Techno,3
Americana,13
Anarcho-Punk,2
Appalachian Folk Music,1
Arabic Classical Music,1
Art Pop,30
Art Punk,14
Art Rock,48
Atmospheric Black Metal,1
Atmospheric Sludge Metal,2
Avant-Folk,8
Avant-Garde Jazz,22
Avant-Garde Metal,8
Avant-Prog,16
Baggy,3
Ballet,1
Baroque Music,1
Baroque Pop,15
Beat Poetry,2
Berlin School,1
Big Band,4
Big Music,2
Black Ambient,1
Black Metal,1
Blue-Eyed Soul,4
Blues,6
Blues Rock,41
Bolero,2
Boogie,5
Boogie Rock,2
Boom Bap,24
Bossa nova,2
Brill Building,3
British Brass Band,1
British Folk Rock,1
British Rhythm & Blues,1
Britpop,2
Broken Transmission,1
Brutal Prog,3
Bubblegum Bass,1
Cabaret,1
Calypso,1
Candomblé Music,1
Canterbury Scene,1
Carols,1
Celtic Folk Music,1
Chamber Folk,7
Chamber Jazz,7
Chamber Music,12
Chamber Pop,15
Chillwave,2
Chipmunk Soul,5
Chiptune,1
Chopped and Screwed,1
Choral,8
Choral Symphony,5
Christian Liturgical Music,1
Christmas Music,1
Cinematic Classical,8
Classical Crossover,3
Classical Period,2
Cloud Rap,6
Cocktail Nation,1
Coldwave,2
Comedy Rock,4
Concerto,1
Conducted Improvisation,1
Conscious Hip Hop,19
Contemporary Folk,13
Contemporary R&B,9
Cool Jazz,11
Country,2
Country Pop,1
Country Rock,15
Crime Jazz,3
Crossover Thrash,1
Cueca,1
Dance-Pop,9
Dance-Punk,6
Danzón,1
Dark Ambient,17
Dark Cabaret,6
Dark Folk,6
Dark Jazz,4
Darkwave,1
Death Doom Metal,3
Death Metal,9
Deathrock,1
Deconstructed Club,2
Deep Funk,4
Deep House,1
Deep Soul,3
Depressive Black Metal,2
Descarga,2
Digital Hardcore,2
Dirty South,1
Disco,2
Dissonant Black Metal,1
Dissonant Death Metal,2
Diva House,1
Doo-Wop,1
Doom Metal,5
Doomgaze,1
Downtempo,9
Dream Pop,32
Drone,25
Drone Metal,3
Drumless,3
Dub,7
Dungeon Synth,3
Electric Blues,4
Electro,1
Electro House,2
Electro-Disco,3
Electro-Industrial,4
Electroacoustic,4
Electroclash,1
Electronic,17
Electronic Dance Music,2
Electropop,5
Emo,8
Emo-Pop,1
Emocore,2
Epic Music,2
