Node1,Node2,Weight,Reverse_Weight
1,8,20.2,17.6
1,26,6.1,31.7
1,35,5.0,32.8
1,41,6.1,31.7
1,42,5.0,32.8
1,46,6.1,31.7
1,50,6.6,31.2
1,59,5.9,31.9
1,85,6.3,31.5
1,87,5.6,32.2
1,88,3.6,34.2
1,105,5.0,32.8
1,109,5.3,32.5
1,127,5.3,32.5
1,137,5.6,32.2
1,148,5.0,32.8
1,154,12.7,25.1
1,155,9.1,28.7
1,158,5.0,32.8
1,165,5.0,32.8
1,166,5.0,32.8
1,200,5.6,32.2
1,201,5.0,32.8
1,203,5.0,32.8
1,210,4.7,33.1
1,224,5.0,32.8
1,225,5.0,32.8
1,238,5.3,32.5
1,246,5.6,32.2
1,251,5.3,32.5
1,252,5.3,32.5
1,256,3.0,34.8
1,258,4.7,33.1
1,271,5.0,32.8
1,280,5.8,32.0
1,296,3.6,34.2
1,300,6.1,31.7
1,316,5.0,32.8
1,320,6.7,31.1
1,333,6.1,31.7
1,348,5.8,32.0
1,349,5.0,32.8
1,356,5.0,32.8
1,370,5.3,32.5
1,371,5.0,32.8
1,372,5.0,32.8
1,374,3.9,33.9
1,381,2.5,35.3
1,382,5.3,32.5
1,387,5.3,32.5
1,395,5.3,32.5
1,396,5.9,31.9
1,406,5.0,32.8
1,416,3.6,34.2
1,427,11.6,26.2
1,428,5.8,32.0
1,429,5.6,32.2
1,433,5.0,32.8
1,439,5.0,32.8
1,440,5.0,32.8
1,460,5.6,32.2
1,470,3.6,34.2
1,480,5.3,32.5
1,485,5.0,32.8
1,489,5.5,32.3
1,495,5.6,32.2
1,501,5.3,32.5
1,505,5.0,32.8
1,506,5.3,32.5
1,510,5.0,32.8
1,517,5.3,32.5
1,521,5.0,32.8
1,524,5.3,32.5
1,526,4.4,33.4
1,528,5.6,32.2
1,530,5.0,32.8
1,544,5.3,32.5
1,545,5.8,32.0
1,553,6.4,31.4
1,554,5.0,32.8
1,558,5.3,32.5
1,560,5.0,32.8
1,568,4.2,33.6
1,587,5.3,32.5
1,590,5.0,32.8
1,605,6.6,31.2
1,610,5.0,32.8
1,611,5.0,32.8
1,618,5.0,32.8
1,619,5.0,32.8
1,622,5.0,32.8
1,649,5.3,32.5
1,656,5.6,32.2
1,660,5.3,32.5
1,661,5.3,32.5
1,680,7.7,30.1
1,681,6.0,31.8
1,682,5.0,32.8
1,683,8.0,29.8
1,688,5.0,32.8
1,707,6.1,31.7
1,715,4.1,33.7
1,721,6.6,31.2
1,732,5.0,32.8
1,746,5.0,32.8
1,748,5.8,32.0
1,761,3.6,34.2
1,767,5.0,32.8
1,771,5.0,32.8
1,773,5.0,32.8
