node,degree,closeness,betweenness,community,triangles,clustering
1,1005.0999999999974,0.6731805929919138,0.0003510524552608721,3,87489,0.024047737871803282
2,1606.499999999989,0.6913494809688582,0.0006034758873770229,5,103783,0.04030025639217685
3,1497.999999999991,0.7585421412300684,0.0012207264044271392,4,154379,0.026993231380000534
4,1688.3999999999858,0.7427509293680298,0.0005495029654459624,0,141355,0.03291534341137075
5,1051.499999999997,0.6516634050880626,6.36909454544725e-05,4,70236,0.030368747337474425
6,1144.3999999999917,0.7156160458452722,0.0009911046651193613,6,119007,0.022321525471720095
7,1330.5999999999929,0.6908713692946058,0.0002034098226482996,4,101062,0.03039052597867493
8,960.8999999999953,0.7125534950071327,0.0007519209256016204,3,122100,0.019949747283135873
9,1430.7999999999918,0.7260174418604651,0.0003335666996321639,5,123986,0.031107496541506772
10,1717.499999999986,0.7649310872894334,0.0010824451706215234,0,156665,0.030729922118277814
11,997.6999999999961,0.702037947997189,0.0001763620668096286,6,122516,0.023545932479647654
12,1049.9999999999948,0.708008504606662,0.0003846531902644127,1,117863,0.02202051550733121
13,1638.4999999999889,0.7762237762237763,0.00032380409801919483,0,180262,0.031091861557292037
14,899.8999999999961,0.7120456165359943,0.00026379880532630476,6,125022,0.019220543980712632
15,1558.0999999999917,0.7070063694267515,0.0006320615873054081,5,114674,0.03507520702762851
16,999.0999999999949,0.6837782340862423,0.0007408878484362786,6,90414,0.02173084234833153
17,1019.0999999999955,0.718705035971223,0.0007453010793024154,6,129028,0.021243055090897002
18,1000.9999999999951,0.7025316455696202,0.0002176525222617407,6,119387,0.020930108168686935
19,1177.8999999999924,0.7244379985496737,0.00038550813433912957,4,123757,0.023531088575122067
20,1278.1999999999894,0.7488755622188905,0.000701221309103741,4,148991,0.023268251685664498
21,1481.7999999999913,0.670020120724346,0.00025105265586227517,0,83326,0.0416071258619783
22,1027.8999999999987,0.7161290322580646,0.0006327971257830979,1,121922,0.021374121487693912
23,537.5000000000015,0.6722745625841184,9.027063135279569e-05,6,88658,0.016169434687595012
24,1590.3999999999896,0.7181883537023724,0.0006001993977945879,5,122346,0.03424585038166882
25,1640.1999999999873,0.7192224622030238,0.0004505173175847859,0,121737,0.03471178287012202
26,929.5999999999947,0.7239130434782609,0.0006541277416360917,3,128943,0.018644411650186207
27,1717.9999999999902,0.7100213219616205,0.0010191888615402314,0,116497,0.038157019289156505
28,1553.2999999999904,0.7460791635548917,0.00021220285081340526,5,142855,0.030932190780018378
29,1480.7999999999913,0.69375,0.0001801066263324112,5,102066,0.03705167820726588
30,903.1999999999971,0.7156160458452722,0.00018923399016919392,6,131414,0.020999802054258433
31,1614.0999999999872,0.8195242001640689,0.0002574384671913063,5,201307,0.026762348658528015
32,1699.8999999999903,0.7151037938439513,0.00030223944719602705,0,124091,0.03785131201247057
33,1468.29999999999,0.7466367713004485,0.00014546945074667188,0,159906,0.0317052016430418
34,1429.399999999992,0.7140814867762688,0.000334335671677021,5,118653,0.03322866737248551
35,949.9999999999968,0.6646706586826348,0.00013858213591012524,3,84273,0.023303784632266605
36,1096.4999999999914,0.7181883537023724,0.000253760774802859,4,127438,0.02313487765174632
37,1477.099999999994,0.7181883537023724,0.00012800280001348807,5,125202,0.033900560778733574
38,951.7999999999965,0.7202595529920692,0.00010404526102588893,1,129015,0.02100530009621718
39,1385.5999999999915,0.7202595529920692,0.00019592070360273438,5,123111,0.03113599132372212
40,1138.799999999995,0.68707015130674,0.00031761888809316995,4,99131,0.027878230540081893
41,895.499999999997,0.6568047337278107,0.00020329128545561412,3,78579,0.024199726503989893
42,915.8999999999959,0.6668891855807744,0.0007588416740053346,3,79529,0.02196088707664977
43,1004.6999999999973,0.6736345246122725,0.0008270461510274471,6,89576,0.023122016813592907
44,1039.2999999999952,0.7249637155297532,0.00029561960089682205,6,135381,0.021483826403780357
45,1441.799999999993,0.7207792207792207,0.0008318271511324289,0,123419,0.03227309644549883
46,1011.7999999999954,0.7125534950071327,0.0003874950434736674,3,118165,0.02134547199911579
47,1601.099999999984,0.7878548895899053,0.0011113986397887534,5,177675,0.027448060917492537
48,1688.7999999999856,0.8545765611633875,0.0011851196553935364,5,227239,0.025709501662502375
49,1097.8999999999949,0.7438570364854803,0.0005331650956233457,1,151482,0.021744325384070663
50,1595.899999999988,0.7286652078774617,0.0003931787498921767,5,131155,0.03247084824932913
51,1499.4999999999889,0.7265454545454545,0.0005302563752797552,5,125279,0.031857294827672036
52,1450.6999999999882,0.7750193948797518,0.00021071744518638306,0,175459,0.02834267912643725
53,1104.699999999994,0.7750193948797518,0.001358807036829749,6,172963,0.02044267694911996
54,1818.4999999999914,0.7786438035853468,0.0006221986849909362,5,171318,0.032172144906385806
55,1177.9999999999934,0.6722745625841184,0.0005347699068473953,4,87932,0.0290042797922977
56,1623.1999999999905,0.7239130434782609,0.0006451229675455909,0,126543,0.03477668405906573
57,1641.2999999999902,0.7372693726937269,0.00044924684203241313,0,138283,0.03281477964578426
58,1570.399999999991,0.7115384615384616,0.0005388010398030439,0,120525,0.036222067208477884
59,1116.8999999999935,0.7010526315789474,0.0002333662988305607,3,105828,0.02362732298367448
60,1476.0999999999897,0.7455223880597015,0.00025755787278833374,5,140878,0.029733149389684355
61,1414.5999999999913,0.7297297297297297,0.0001631080455395753,4,139018,0.028551704339683848
62,1615.1999999999873,0.7421991084695394,0.0010852535902636103,0,140675,0.032335011356298474
63,1059.1999999999955,0.6865979381443299,0.00017970542352639882,1,102588,0.024917781483989005
64,1449.2999999999904,0.7244379985496737,0.0004680699403478295,5,126813,0.031710705414106595
65,1174.09999999999,0.7244379985496737,0.0006977585467899429,6,131105,0.022765833809233072
66,1069.8999999999953,0.7095170454545454,0.0002801732928653436,4,118271,0.02395903911344784
67,1537.0999999999924,0.6677807486631016,0.00021514500472416306,5,85894,0.043512193357674436
68,1117.099999999996,0.6576695194206715,0.0001425941639702495,4,76510,0.03155643976615022
69,1132.1999999999937,0.7762237762237763,9.846185530888268e-05,4,163575,0.020387038064123675
70,997.3999999999958,0.7427509293680298,0.0002449566021153641,6,147051,0.019389638455779207
71,1718.7999999999877,0.8037007240547064,0.0003113190487939987,0,198296,0.029610905332269538
72,1508.4999999999907,0.7345588235294118,0.0007459568915814741,5,145232,0.03223602005511474
73,1422.1999999999907,0.728134110787172,0.00017940452142188948,0,127089,0.030568020413428165
74,1462.1999999999894,0.7202595529920692,0.0003960206031014314,5,122487,0.03280504437783427
75,1418.599999999994,0.6731805929919138,0.000510864906322488,5,87905,0.039521890501139814
76,880.2999999999962,0.6927877947295423,0.0004027821440424424,6,97465,0.01887758698600371
77,1642.8999999999855,0.7847604084838963,0.00034199195855842484,0,178242,0.029249362970481182
78,1160.8999999999942,0.6795918367346939,0.00033801336406546833,6,94329,0.026288454113628755
79,924.0999999999972,0.7161290322580646,0.0002958870694341637,6,128948,0.01962290910753662
80,1830.7999999999909,0.7516930022573364,0.0001255311041550186,0,156892,0.035292218893923005
81,1025.7999999999956,0.7421991084695394,0.0012935447137183945,1,143938,0.019308110218242334
82,799.499999999997,0.7291970802919708,0.0003542286441418038,2,141271,0.018189666303914116
83,923.7999999999973,0.675,0.00019073850069174065,1,88890,0.022308504413499807
84,1279.399999999994,0.6371173469387755,0.00017742079643660584,5,62620,0.04873172518802814
85,1571.3999999999892,0.7738187451587917,0.0007616835272145895,5,163877,0.028309521337864886
86,1213.7999999999915,0.7780373831775701,0.0009398844402184417,4,171205,0.02129458834502653
87,1184.299999999993,0.6795918367346939,0.00035941084705279754,3,92622,0.026942262766175087
88,1590.3999999999876,0.7522590361445783,0.001356065484321997,5,148045,0.029768581550869772
89,1081.999999999995,0.7416481069042317,0.00028708289674666876,6,146651,0.020596079192442683
90,1485.6999999999894,0.777431906614786,0.0007726497372455958,5,171297,0.02744536111883926
91,1408.0999999999906,0.7270742358078602,0.00014108965344770288,5,127818,0.031195251856509912
92,1095.0999999999929,0.6828434723171565,0.0002863083524406168,6,96799,0.024899252768428852
93,1851.5999999999906,0.7708333333333334,0.00026940768423734353,5,168509,0.03392827383551933
94,1102.3999999999924,0.7060070671378091,0.00017810061230234912,4,111470,0.024565068978925762
95,1569.2999999999881,0.723388848660391,0.0005779660756280663,5,125707,0.032885385441969846
96,1524.9999999999882,0.7878548895899053,0.0004534929050627113,0,185673,0.028357583085126835
97,1491.4999999999902,0.7579666160849773,0.000626667638469019,0,154421,0.02951603221271954
98,885.7999999999984,0.6677807486631016,0.00014259416397024947,1,90125,0.02358715682339398
99,1523.4999999999895,0.7655172413793103,0.00042811682758242536,0,172918,0.0309918245941811
100,1040.4999999999968,0.6875430144528561,2.240049000236041e-05,4,100932,0.025802511103840405
