,node,degree,closeness,betweenness,community,triangles,clustering
957,958,1723.4999999999843,0.797923322683706,0.0002107986409923,0,195809,0.0299899496585586
984,985,1639.6999999999884,0.8056451612903226,6.432618323065884e-05,0,196214,0.028988008154661
12,13,1638.4999999999889,0.7762237762237763,0.0003238040980191,0,180262,0.031091861557292
9,10,1717.499999999986,0.7649310872894334,0.0010824451706215,0,156665,0.0307299221182778
3,4,1688.3999999999858,0.7427509293680298,0.0005495029654459,0,141355,0.0329153434113707
402,403,1950.3999999999864,0.8175122749590835,0.0012661291886408,0,204482,0.0307817943180924
392,393,1491.6999999999894,0.7539622641509434,0.0001766128185633,0,160312,0.0303135569166776
390,391,1469.399999999988,0.7756211180124224,0.0001192798231319,0,172487,0.0284960043832032
389,390,1557.5999999999888,0.75,0.0003781002110995,0,153493,0.0317423329110497
978,979,1473.9999999999898,0.7130620985010707,0.0004102633027148,0,123275,0.0343932253470252
433,434,1487.8999999999885,0.7361827560795873,6.435961679782656e-05,0,142266,0.0319239971015429
970,971,1417.9999999999943,0.6642287234042553,2.798389571936666e-05,0,88540,0.0445046588117841
969,970,1703.5999999999897,0.76905311778291,0.0005403724174599,0,170823,0.0319716429806587
967,968,1667.1999999999894,0.7780373831775701,7.004332321633592e-05,0,181338,0.0316363765554804
32,33,1468.29999999999,0.7466367713004485,0.0001454694507466,0,159906,0.0317052016430418
31,32,1699.8999999999903,0.7151037938439513,0.000302239447196,0,124091,0.0378513120124705
26,27,1717.9999999999902,0.7100213219616205,0.0010191888615402,0,116497,0.0381570192891565
24,25,1640.1999999999873,0.7192224622030238,0.0004505173175847,0,121737,0.034711782870122
20,21,1481.799999999991,0.670020120724346,0.0002510526558622,0,83326,0.0416071258619783
995,996,1504.9999999999932,0.6786684782608695,0.0003796381551892,0,98746,0.0422903784382727
996,997,1445.1999999999937,0.7455223880597015,7.952412762032e-05,0,153720,0.0316421627620348
476,477,1342.9999999999911,0.7085106382978723,0.0001534600732997,0,125024,0.0339855775277531
475,476,1780.8999999999874,0.8175122749590835,0.0002532592712953,0,207854,0.0296496083070396
472,473,1273.59999999999,0.6961672473867596,0.0001173518207586,0,115512,0.0340314091214494
79,80,1830.7999999999909,0.7516930022573364,0.000125531104155,0,156892,0.035292218893923
76,77,1642.8999999999855,0.7847604084838963,0.0003419919585584,0,178242,0.0292493629704811
72,73,1422.1999999999907,0.728134110787172,0.0001794045214218,0,127089,0.0305680204134281
70,71,1718.7999999999877,0.8037007240547064,0.0003113190487939,0,198296,0.0296109053322695
913,914,1282.6999999999898,0.6782077393075356,0.0,0,106912,0.0384607883911141
912,913,1570.6999999999891,0.7684615384615384,0.0003170696223468,0,169131,0.0303018408726258
910,911,1646.8999999999917,0.837384744341995,0.0007119686812405,0,213805,0.0266265660261248
909,910,1422.9999999999918,0.6814461118690314,0.0001380806324026,0,99356,0.0378275387446559
899,900,1369.799999999993,0.6759133964817321,0.0001891336894676,0,95680,0.0403496555719611
61,62,1615.1999999999873,0.7421991084695394,0.0010852535902636,0,140675,0.0323350113562984
57,58,1570.399999999991,0.7115384615384616,0.000538801039803,0,120525,0.0362220672084778
56,57,1641.2999999999902,0.7372693726937269,0.0004492468420324,0,138283,0.0328147796457842
55,56,1623.1999999999905,0.7239130434782609,0.0006451229675455,0,126543,0.0347766840590657
51,52,1450.6999999999882,0.7750193948797518,0.0002107174451863,0,175459,0.0283426791264372
855,856,1461.9999999999884,0.7505634861006761,0.0002749910899543,0,152328,0.029802991478738
851,852,1733.8999999999894,0.7947494033412887,0.000713137987687,0,192025,0.0304231373229633
98,99,1523.4999999999895,0.7655172413793103,0.0004281168275824,0,172918,0.0309918245941811
96,97,1491.4999999999902,0.7579666160849773,0.000626667638469,0,154421,0.0295160322127195
95,96,1524.9999999999882,0.7878548895899053,0.0004534929050627,0,185673,0.0283575830851268
881,882,1415.8999999999896,0.7350993377483444,0.000567601669806,0,134995,0.0303068035274257
892,893,1576.5999999999897,0.7291970802919708,0.0004307469348662,0,137150,0.0340253402967165
890,891,1530.599999999995,0.7060070671378091,0.0002534264391311,0,121353,0.0372485824788283
471,472,1420.7999999999902,0.6956824512534819,0.0005558999212973,0,102445,0.0356123129704527
468,469,1651.1999999999891,0.785377358490566,0.0002341018373082,0,184505,0.0304371173631603
336,337,1492.1999999999907,0.7477544910179641,0.0001607676958378,0,155649,0.0312364144155018
331,332,1309.4999999999934,0.6576695194206715,0.0004596264449303,0,76933,0.0424780799443838
330,331,1773.9999999999864,0.7591185410334347,0.0013123033330114,0,159033,0.0331925029429181
325,326,1466.6999999999896,0.7460791635548917,0.0003049364216142,0,143556,0.0297553398056968
493,494,1430.999999999991,0.6903939184519696,0.0002223332216652,0,105300,0.0370048698885333
490,491,1603.999999999994,0.6686746987951807,2.2701392106869727e-05,0,89065,0.0462598043612166
489,490,1713.099999999989,0.7829153605015674,0.0006361404824998,0,182707,0.0309339051769339
486,487,1482.299999999989,0.7928571428571428,0.0002624726071619,0,188160,0.0275355348447672
321,322,1612.0999999999876,0.7488755622188905,0.0007031413511039,0,152143,0.0322016957465887
109,110,1537.59999999999,0.7015449438202247,0.0004453351146737,0,112151,0.036987805209511
101,102,1514.1999999999912,0.6875430144528561,0.0003434964690809,0,97331,0.0384537360696486
845,846,1420.099999999991,0.7372693726937269,0.0004092268621326,0,148513,0.0315238305935539
838,839,1490.5999999999913,0.7302631578947368,0.0001973806360357,0,143304,0.0337808495013175
835,836,1453.499999999993,0.6686746987951807,0.0001801066263324,0,83375,0.0417355619472699
865,866,1504.699999999991,0.7947494033412887,2.474083970409956e-05,0,193827,0.0284173587123838
513,514,1544.5999999999894,0.8128559804719284,2.2114784973836405e-05,0,201126,0.0274495334778677
512,513,1722.599999999986,0.7394522575869726,0.0001341354714768,0,149020,0.0357783872255449
502,503,1725.6999999999894,0.8161764705882353,0.000475692793662,0,206297,0.0291425145151142
530,531,1577.8999999999855,0.7878548895899053,2.514204251011198e-05,0,183297,0.0284719414528918
540,541,1683.1999999999866,0.7960159362549801,0.0007339679684369,0,189870,0.0290871983685044
539,540,1504.799999999989,0.7115384615384616,0.0006392832378136,0,114006,0.0337391017073338
536,537,1693.199999999992,0.7884767166535123,0.0004924119653578,0,185863,0.0304620288326638
535,536,1653.199999999987,0.7545317220543807,6.018042090186378e-06,0,153226,0.0323367641196687
533,534,1643.1999999999848,0.8017656500802568,0.0005835829149122,0,188922,0.0282489947378388
305,306,1567.4999999999866,0.7890995260663507,0.0006486780701877,0,179509,0.027445547823659
304,305,1720.39999999999,0.748314606741573,6.770297351459677e-05,0,154859,0.0350678209177074
813,814,1502.799999999991,0.7539622641509434,0.00017795016125,0,160312,0.0305504340747914
130,131,1449.7999999999915,0.697138869504536,0.0007940472202329,0,109617,0.0360679111654804
124,125,1492.799999999991,0.7522590361445783,0.0001284517650583,0,161074,0.0315778234943622
123,124,1901.4999999999884,0.7466367713004485,0.0008502705396492,0,147604,0.036553855342188
122,123,1456.499999999993,0.6908713692946058,4.814433672149103e-05,0,106961,0.0381724617569857
120,121,1747.9999999999895,0.7433035714285714,0.0001662149791742,0,150814,0.0355968567031234
119,120,1434.399999999989,0.7291970802919708,0.0007553311494527,0,130603,0.0312755467153547
118,119,1838.999999999982,0.7585421412300684,0.0001636573112859,0,165061,0.0355238740672596
117,118,1560.6999999999912,0.7859952793076318,0.0001935469203338,0,185997,0.0294852729668255
824,825,1260.2999999999931,0.666,5.917741388683272e-05,0,86798,0.0396297250838429
822,823,1423.799999999993,0.6903939184519696,0.0001665660316294,0,102010,0.0366001063415045
821,822,1448.0999999999935,0.6563731931668857,0.0002422930612643,0,76658,0.0454210506847206
819,820,1609.3999999999935,0.6695710455764075,0.0002834832160149,0,89574,0.0461057483923392
758,759,1401.0999999999924,0.7410979228486647,5.215636478161528e-05,0,149036,0.0311545614062318
756,757,1677.5999999999894,0.8056451612903226,0.0004270135198658,0,198998,0.029280573599704
145,146,1830.199999999992,0.7075070821529745,0.000563506057828,0,118183,0.0408403617808506
135,136,1779.699999999987,0.7608530083777608,0.0011546282421365,0,162999,0.0335039807267876
131,132,1989.899999999986,0.8155102040816327,0.0019248898674416,0,200158,0.0306068512643712
778,779,1733.2999999999877,0.785377358490566,0.0010263603616977,0,176095,0.0296801066054669
771,772,1546.899999999992,0.7145922746781116,0.0011311244444176,0,121919,0.0346519945132342
797,798,1345.2999999999918,0.7105263157894737,0.0002196585362918,0,120837,0.0328858334252875
816,817,1792.3999999999835,0.8366834170854272,0.0004621880206382,0,217766,0.0281857001745709
765,766,1716.59999999999,0.6932685634975712,0.0004770635699159,0,107276,0.0420938135351133
762,763,1480.9999999999898,0.7427509293680298,0.0005912878324367,0,151146,0.0315330299240065
761,762,1578.299999999986,0.7835294117647059,0.0004391164711805,0,171909,0.0278198093062758
422,423,1623.499999999989,0.7477544910179641,0.0011626522982568,0,144319,0.0318639724954149
420,421,1698.1999999999907,0.7738187451587917,0.0002785350480741,0,179258,0.0321951290980732
449,450,1783.09999999999,0.7135714285714285,0.0007799048213209,0,113310,0.0376547630812381
447,448,1383.099999999993,0.7161290322580646,0.0001569705978523,0,122343,0.032912910222179
446,447,1305.39999999999,0.7055084745762712,2.0060140300621263e-06,0,121461,0.0334958555624007
437,438,1642.1999999999864,0.7916006339144216,0.0004150634077153,0,180938,0.0285793635942442
435,436,1861.799999999986,0.7798594847775175,0.0003008018038078,0,176580,0.0332502097542374
362,363,1540.1999999999946,0.6576695194206715,0.0005531583687896,0,79696,0.0477168457945394
360,361,1566.7999999999863,0.7666922486569455,0.0009222315167538,0,156920,0.0287238687687112
463,464,1505.2999999999909,0.7649310872894334,0.0007127033513139,0,171577,0.0301050827806653
303,304,1346.2999999999931,0.6691225720026792,0.0003194768391829,0,87440,0.0399596741030752
300,301,1657.2999999999874,0.7608530083777608,0.0009370314424867,0,153158,0.0303031235872686
296,297,1431.6999999999928,0.7010526315789474,6.37801016335864e-05,0,117929,0.0365266778054094
291,292,1494.3999999999917,0.6976256983240223,0.0002708978660882,0,110428,0.0367547729245638
556,557,1485.09999999999,0.7556732223903178,0.0002800061250295,0,156918,0.0304711246655828
551,552,1746.7999999999884,0.7744186046511627,0.0003573212491048,0,175921,0.0324631993581332
548,549,1450.7999999999925,0.6727272727272727,0.0001869939411689,0,89805,0.0416438689990305
289,290,1708.8999999999892,0.7372693726937269,0.0006449335106649,0,141992,0.0352800974511533
