genre,appearances
16-bit,3
Abstract Hip Hop,15
Acid Jazz,2
Acid Rock,4
Acoustic Rock,3
Afrobeat,5
Alt-Country,3
Alternative Dance,3
Alternative Metal,8
Alternative R&B,4
Alternative Rock,37
Ambient,18
Ambient Pop,6
Ambient Techno,1
American Primitivism,3
Americana,3
Art Pop,36
Art Punk,8
Art Rock,50
Atmospheric Black Metal,7
Atmospheric Sludge Metal,4
Avant-Folk,6
Avant-Garde Jazz,22
Avant-Garde Metal,1
Avant-Prog,4
Baggy,1
Ballet,4
Baroque Music,9
Baroque Pop,7
Baroque Suite,1
Big Band,2
Black Metal,7
Blues Rock,18
Bolero,1
Boom Bap,17
Bossa nova,2
Britpop,2
Brutal Death Metal,3
Brutal Prog,1
Bubblegum Bass,2
Bulgarian Folk Music,1
Canción melódica,1
Canterbury Scene,3
Caribbean Folk Music,1
Chamber Folk,13
Chamber Music,6
Chamber Pop,5
Chicago Soul,3
Chillwave,1
Chipmunk Soul,2
Choral,2
Choral Symphony,3
Christian Liturgical Music,3
Christian Rock,1
Christmas Music,1
Cinematic Classical,3
City Pop,3
Classical Period,5
Concerto,1
Conscious Hip Hop,23
Contemporary Folk,25
Contemporary R&B,6
Cool Jazz,5
Country,6
Country Rock,10
Dance,1
Dance-Pop,4
Dance-Punk,4
Dark Folk,1
Dark Jazz,2
Darkwave,1
Death Metal,15
Deconstructed Club,1
Deep Soul,3
Depressive Black Metal,1
Digital Fusion,1
Dirty South,1
Disco,3
Dissonant Black Metal,1
Dissonant Death Metal,3
Doom Metal,2
Downtempo,4
Dream Pop,13
Drill and Bass,2
Drone,11
Drone Metal,2
Drumless,1
Dub,1
Dubstep,1
ECM Style Jazz,2
East Coast Hip Hop,37
Electroacoustic,1
Electronic,19
Electronic Dance Music,1
Electropop,3
Emo,4
Emo-Pop,1
Emoviolence,1
Epic Doom Metal,2
Ethereal Wave,1
Experimental,4
Experimental Big Band,3
Experimental Hip Hop,19
Experimental Rock,25
Expressionism,1
Film Score,7
Film Soundtrack,3
Folk Metal,1
Folk Pop,3
Folk Rock,24
Folktronica,2
Free Folk,1
Free Jazz,8
French Electro,1
French House,2
Fugue,2
Funk,5
Funk Rock,2
Future Garage,1
G-Funk,2
Gangsta Rap,10
Garage Rock,5
Garage Rock Revival,1
Glam Rock,6
Glitch Hop,5
Glitch Pop,2
Gothic Metal,1
Gothic Rock,7
Grindcore,1
Grunge,7
Hard Bop,16
Hard Rock,35
Hardcore Hip Hop,17
Hardcore Punk,4
Heartland Rock,4
Heavy Metal,24
Heavy Psych,1
Hip Hop,2
Holy Minimalism,2
Horror Punk,1
Horrorcore,3
House,1
Hyperpop,1
Hypnagogic Pop,1
IDM,8
Impressionism,2
Indie Folk,15
Indie Pop,9
Indie Rock,36
Indietronica,8
Industrial Hip Hop,6
Industrial Rock,4
Instrumental Hip Hop,4
J-Rock,3
Jam Band,11
Jangle Pop,3
Jazz,2
Jazz Fusion,21
Jazz Pop,2
Jazz Rap,13
Jazz-Funk,6
Jazz-Rock,17
Krautrock,6
Latin Rap,2
Latin Rock,2
Lounge,1
MPB,9
Mariachi,1
Mashup,1
Mass,1
Math Rock,4
Mathcore,2
Melodic Black Metal,1
Melodic Death Metal,2
Memphis Rap,2
Metalcore,2
Midwest Emo,4
Minimalism,7
Minneapolis Sound,2
Modal Jazz,11
Modern Classical,11
Modern Creative,1
Moogsploitation,1
NWOBHM,2
Neo-Psychedelia,19
Neo-Soul,8
Neoclassical Darkwave,3
Neoclassical New Age,1
Neofolk,1
New Age,1
New Wave,15
No Wave,1
Nocturne,2
Noise Pop,6
Noise Rock,21
Nu Metal,1
Nu-Disco,1
Nueva trova,1
Nyahbinghi,1
Opera,1
Oratorio,2
Orchestral Music,7
P-Funk,2
Pagan Black Metal,1
Piano Rock,2
Picopop,1
Plunderphonics,4
Political Hip Hop,1
Polyphonic Chant,1
Pop,1
Pop Punk,4
Pop Rap,6
Pop Rock,29
Pop Soul,1
Post-Bop,16
Post-Hardcore,21
Post-Industrial,5
